MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OverallCond,OverallQual,PavedDrive,RoofMatl,SaleCondition,SalePrice,SaleType,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YrSold
None,None,0,7,IDOTRR,4,4,N,CompShg,Normal,40000.0,WD,Pave,6,649.0,0,1920,2008
None,None,0,6,Sawyer,6,5,Y,CompShg,Normal,149350.0,WD,Pave,6,1228.0,0,1966,2008
None,None,0,1,CollgCr,5,8,Y,CompShg,Normal,179900.0,WD,Pave,7,1234.0,0,2007,2008
None,None,0,4,NAmes,5,5,Y,CompShg,Normal,165500.0,WD,Pave,6,1398.0,0,1959,2010
BrkFace,None,0,8,NridgHt,5,9,Y,CompShg,Normal,277500.0,WD,Pave,6,1561.0,203,2005,2007
Stone,None,0,9,NridgHt,5,8,Y,CompShg,Normal,309000.0,WD,Pave,9,1117.0,113,2004,2006
None,None,0,6,CollgCr,5,5,Y,CompShg,Normal,145000.0,WD,Pave,6,1097.0,392,1994,2009
BrkFace,None,0,10,NAmes,6,5,Y,CompShg,Normal,153000.0,WD,Pave,5,1297.0,0,1954,2009
None,None,0,1,NAmes,7,5,Y,CompShg,Abnorml,109000.0,WD,Pave,5,1057.0,0,1953,2010
None,None,0,6,Edwards,5,4,N,CompShg,AdjLand,82000.0,WD,Pave,6,0.0,0,1955,2008
BrkFace,None,0,12,NAmes,5,6,Y,CompShg,Abnorml,160000.0,WD,Pave,6,1088.0,0,1965,2006
None,None,0,7,Timber,6,5,P,CompShg,Normal,170000.0,WD,Pave,5,1350.0,0,1959,2007
None,None,0,12,SawyerW,7,5,Y,CompShg,Normal,144000.0,WD,Pave,5,840.0,240,1983,2007
None,None,0,7,CollgCr,6,5,Y,CompShg,Normal,130250.0,WD,Pave,5,938.0,145,1975,2008
None,None,0,5,NAmes,6,5,Y,CompShg,Normal,141000.0,WD,Pave,6,1150.0,0,1959,2006
BrkFace,None,0,2,NridgHt,5,9,Y,CompShg,Normal,319900.0,WD,Pave,6,1752.0,196,2005,2010
None,None,0,8,Mitchel,5,7,Y,CompShg,Abnorml,239686.0,WD,Pave,6,1434.0,168,2003,2009
None,None,0,7,Somerst,5,8,Y,CompShg,Normal,249700.0,WD,Pave,7,1656.0,0,2006,2007
None,None,0,6,OldTown,5,4,N,CompShg,Partial,113000.0,New,Pave,8,736.0,0,1920,2009
None,None,0,1,Sawyer,7,5,Y,CompShg,Normal,127000.0,WD,Pave,6,955.0,0,1966,2007
None,None,0,7,Gilbert,6,6,Y,CompShg,Normal,177000.0,WD,Pave,6,794.0,0,1997,2007
None,Shed,400,9,BrkSide,6,6,Y,CompShg,Normal,114500.0,WD,Pave,6,816.0,112,1934,2006
None,None,0,5,IDOTRR,5,5,Y,CompShg,Normal,110000.0,WD,Grvl,5,816.0,106,1963,2010
None,None,0,11,Veenker,5,9,Y,WdShngl,Normal,385000.0,WD,Pave,5,1842.0,857,1981,2006
None,None,0,2,NAmes,5,5,Y,CompShg,Normal,130000.0,WD,Pave,6,384.0,0,1955,2007
BrkFace,None,0,7,NAmes,5,6,Y,CompShg,Normal,180500.0,WD,Pave,7,1425.0,0,1964,2008
BrkFace,None,0,8,Somerst,5,8,Y,CompShg,Abnorml,172500.0,WD,Pave,7,970.0,115,1999,2009
None,None,0,8,CollgCr,5,7,Y,CompShg,Normal,196500.0,WD,Pave,7,860.0,0,2004,2006
BrkFace,None,0,10,StoneBr,5,10,Y,CompShg,Partial,438780.0,New,Pave,10,1410.0,192,2006,2006
None,None,0,1,CollgCr,7,5,Y,CompShg,Normal,124900.0,WD,Pave,4,780.0,196,1972,2008
None,None,0,5,SawyerW,5,6,Y,CompShg,Partial,158000.0,New,Pave,5,1158.0,0,2004,2006
None,None,0,3,IDOTRR,7,5,N,CompShg,Normal,101000.0,WD,Pave,6,530.0,0,1920,2007
Stone,None,0,10,NridgHt,5,8,Y,CompShg,Normal,202500.0,WD,Pave,6,1370.0,120,2006,2007
None,None,0,4,OldTown,6,7,Y,CompShg,Normal,140000.0,WD,Pave,9,576.0,12,1921,2010
BrkFace,None,0,2,CollgCr,5,7,Y,CompShg,Normal,219500.0,WD,Pave,8,1057.0,576,1997,2009
BrkFace,None,0,10,NridgHt,5,8,Y,CompShg,Normal,317000.0,WD,Pave,9,1143.0,192,2004,2007
BrkFace,None,0,7,NAmes,5,7,Y,CompShg,Normal,180000.0,WD,Pave,7,1947.0,301,1970,2010
BrkFace,None,0,6,CollgCr,5,7,Y,CompShg,Normal,226000.0,WD,Pave,7,1453.0,144,2003,2007
None,None,0,6,OldTown,6,4,Y,CompShg,Normal,80000.0,WD,Pave,4,747.0,0,1945,2010
None,None,0,7,ClearCr,4,7,Y,CompShg,Normal,225000.0,WD,Pave,7,1304.0,0,1953,2006
BrkFace,None,0,2,NAmes,6,7,Y,CompShg,Normal,244000.0,WD,Pave,8,2223.0,300,1973,2007
None,None,0,6,Mitchel,6,4,Y,CompShg,Normal,129500.0,WD,Pave,4,845.0,0,1982,2007
BrkFace,None,0,12,Gilbert,5,7,Y,CompShg,Normal,185000.0,WD,Pave,7,832.0,0,1998,2009
BrkFace,None,0,5,NAmes,7,5,Y,CompShg,Normal,144900.0,WD,Pave,6,1086.0,0,1954,2010
None,None,0,5,OldTown,6,3,Y,CompShg,Normal,107400.0,WD,Pave,8,840.0,0,1915,2010
None,None,0,11,MeadowV,5,4,Y,CompShg,Normal,91000.0,WD,Pave,5,462.0,120,1973,2009
None,None,0,4,NAmes,7,4,Y,CompShg,Normal,135750.0,WD,Pave,4,952.0,0,1956,2008
None,None,0,1,BrkSide,5,5,Y,CompShg,Normal,127000.0,WD,Pave,6,672.0,0,1948,2008
None,None,0,4,Sawyer,5,4,Y,CompShg,Normal,136500.0,WD,Pave,8,1768.0,0,1968,2010
None,None,0,5,OldTown,6,5,Y,CompShg,Normal,110000.0,WD,Pave,5,440.0,74,1910,2009
BrkFace,None,0,6,NAmes,6,6,Y,CompShg,Normal,193500.0,WD,Pave,8,896.0,0,1968,2009
BrkFace,None,0,3,Mitchel,5,6,Y,CompShg,Normal,153500.0,WD,Pave,5,1237.0,0,1998,2006
Stone,None,0,10,Somerst,5,8,Y,CompShg,Normal,245000.0,WD,Pave,6,1563.0,144,2007,2008
BrkCmn,None,0,7,NAmes,5,5,Y,CompShg,Normal,126500.0,COD,Pave,6,1065.0,74,1960,2007
BrkFace,Shed,700,5,Gilbert,5,7,Y,CompShg,Normal,168500.0,WD,Pave,7,384.0,120,1995,2009
BrkFace,None,0,4,NoRidge,5,8,Y,CompShg,Normal,260000.0,WD,Pave,9,1288.0,127,1991,2006
None,None,0,3,Gilbert,5,6,Y,CompShg,Normal,174000.0,WD,Pave,6,684.0,100,2005,2009
Stone,None,0,6,Somerst,5,6,Y,CompShg,Partial,164500.0,New,Pave,4,612.0,0,2009,2009
None,None,0,10,IDOTRR,2,3,N,CompShg,Abnorml,85000.0,ConLD,Pave,6,1013.0,0,1915,2009
None,None,0,8,CollgCr,5,4,Y,CompShg,Normal,123600.0,WD,Pave,5,990.0,0,1994,2007
None,None,0,7,NAmes,5,4,Y,CompShg,Normal,109900.0,WD,Pave,4,0.0,0,1950,2006
BrkCmn,None,0,12,NAmes,3,5,Y,CompShg,Abnorml,98600.0,WD,Pave,6,1235.0,0,1961,2006
None,None,0,8,Crawfor,7,5,Y,CompShg,Normal,163500.0,WD,Pave,5,876.0,0,1921,2009
None,None,0,11,OldTown,6,6,Y,CompShg,Normal,133900.0,WD,Pave,9,1214.0,0,1910,2007
None,None,0,5,CollgCr,5,6,Y,CompShg,Normal,204750.0,WD,Pave,7,824.0,0,1997,2007
BrkFace,Shed,480,4,Gilbert,8,6,Y,CompShg,Normal,185000.0,WD,Pave,6,680.0,232,1993,2009
BrkFace,None,0,8,CollgCr,5,7,Y,CompShg,Normal,214000.0,WD,Pave,6,1588.0,158,1999,2006
BrkFace,None,0,5,Edwards,5,4,P,CompShg,Normal,94750.0,WD,Pave,6,960.0,120,1965,2007
None,Shed,400,5,Edwards,5,5,Y,CompShg,Abnorml,83000.0,COD,Pave,5,458.0,0,1920,2010
None,Shed,400,1,NAmes,5,4,Y,CompShg,Normal,128950.0,WD,Pave,6,950.0,352,1959,2010
BrkFace,None,0,2,NWAmes,7,6,Y,CompShg,Normal,205000.0,WD,Pave,6,1610.0,168,1977,2010
BrkFace,None,0,6,SawyerW,5,6,Y,CompShg,Normal,178000.0,WD,Pave,7,741.0,192,1985,2010
None,None,0,6,SawyerW,5,5,Y,CompShg,Alloca,118964.0,WD,Pave,8,0.0,0,1979,2009
None,None,0,5,CollgCr,5,7,Y,CompShg,Normal,198900.0,WD,Pave,6,1226.0,0,2009,2010
BrkFace,None,0,6,IDOTRR,4,7,Y,CompShg,Normal,169500.0,WD,Pave,7,1040.0,0,1931,2007
BrkFace,None,0,8,Somerst,5,8,Y,CompShg,Normal,250000.0,WD,Pave,9,1053.0,140,2003,2008
None,Shed,450,8,OldTown,7,4,N,CompShg,Normal,100000.0,WD,Pave,6,641.0,0,1885,2007
None,None,0,4,OldTown,5,5,Y,CompShg,Partial,115000.0,WD,Pave,5,789.0,0,1948,2008
None,None,0,8,IDOTRR,7,5,N,CompShg,Normal,115000.0,WD,Pave,7,793.0,0,1919,2007
BrkFace,None,0,1,NWAmes,6,6,Y,CompShg,Normal,190000.0,COD,Pave,7,1844.0,0,1977,2010
None,None,0,10,Edwards,4,6,Y,CompShg,Normal,136900.0,WD,Pave,7,994.0,182,1954,2006
None,None,0,4,Gilbert,5,7,Y,CompShg,Normal,180000.0,WD,Pave,7,384.0,180,2000,2010
Stone,None,0,10,CollgCr,5,7,Y,CompShg,Partial,383970.0,New,Pave,10,1264.0,120,2007,2007
BrkFace,None,0,10,Crawfor,5,6,Y,CompShg,Abnorml,217000.0,COD,Pave,7,1809.0,166,1953,2007
None,None,0,7,Crawfor,8,6,Y,CompShg,Normal,259500.0,WD,Pave,9,1028.0,224,1945,2007
BrkFace,None,0,6,Somerst,5,6,Y,CompShg,Normal,176000.0,WD,Pave,5,729.0,0,1999,2007
BrkFace,None,0,9,Sawyer,5,5,Y,CompShg,Normal,139000.0,WD,Pave,6,1092.0,0,1962,2009
None,None,0,4,Edwards,5,5,Y,CompShg,Partial,155000.0,New,Pave,5,1125.0,80,2006,2007
None,None,0,5,SawyerW,5,7,Y,CompShg,Normal,320000.0,WD,Pave,11,1673.0,367,1990,2010
None,None,0,7,CollgCr,5,6,Y,CompShg,Partial,163990.0,New,Pave,8,728.0,0,2005,2006
None,None,0,10,ClearCr,5,6,Y,Metal,Normal,180000.0,WD,Pave,4,938.0,0,1969,2006
None,None,0,6,IDOTRR,5,4,P,CompShg,Normal,100000.0,WD,Pave,4,732.0,0,1939,2007
BrkFace,None,0,6,NAmes,7,6,Y,CompShg,Normal,136000.0,WD,Pave,5,1080.0,0,1958,2008
None,None,0,3,SawyerW,5,6,Y,CompShg,Normal,153900.0,WD,Pave,5,1199.0,0,1993,2008
None,None,0,1,NWAmes,5,6,Y,CompShg,Normal,181000.0,WD,Pave,7,1362.0,192,1979,2009
None,None,0,6,IDOTRR,8,6,N,CompShg,Normal,84500.0,WD,Pave,5,520.0,53,1935,2006
None,None,0,2,NPkVill,5,6,Y,CompShg,Normal,128000.0,WD,Pave,5,1078.0,0,1976,2007
None,None,0,6,OldTown,7,5,N,CompShg,Normal,87000.0,WD,Pave,5,672.0,0,1930,2007
BrkFace,None,0,7,NAmes,5,6,Y,CompShg,Normal,155000.0,WD,Pave,6,660.0,188,1966,2006
BrkFace,None,0,7,NAmes,7,5,Y,CompShg,Abnorml,150000.0,WD,Pave,6,1008.0,0,1958,2006
BrkFace,None,0,5,NAmes,6,7,Y,CompShg,Normal,226000.0,WD,Pave,8,924.0,105,1966,2006
BrkFace,None,0,7,Gilbert,5,6,Y,CompShg,Normal,244000.0,WD,Pave,7,992.0,24,2000,2009
None,None,0,7,NAmes,6,5,Y,CompShg,Normal,150750.0,WD,Pave,7,1063.0,0,1959,2007
BrkFace,None,0,6,Timber,5,8,Y,CompShg,Normal,220000.0,WD,Pave,6,1267.0,192,2001,2009
None,None,0,7,Sawyer,6,5,Y,CompShg,Normal,180000.0,WD,Pave,7,1461.0,0,1968,2006
BrkFace,None,0,5,NWAmes,6,7,Y,CompShg,Normal,174000.0,WD,Pave,7,1304.0,98,1970,2008
BrkFace,None,0,7,NAmes,5,5,Y,CompShg,Normal,143000.0,WD,Pave,5,1214.0,0,1967,2007
BrkFace,None,0,7,Mitchel,5,7,Y,CompShg,Family,171000.0,WD,Pave,9,1907.0,0,1988,2006
BrkFace,None,0,12,CollgCr,5,8,Y,CompShg,Normal,230000.0,WD,Pave,7,1004.0,224,1999,2008
None,None,0,8,CollgCr,5,6,Y,CompShg,Normal,231500.0,WD,Pave,7,928.0,276,1997,2009
None,None,0,4,NAmes,5,4,Y,CompShg,Normal,115000.0,ConLI,Pave,5,864.0,0,1971,2010
None,None,0,1,CollgCr,5,7,Y,CompShg,Normal,260000.0,WD,Pave,7,1734.0,160,2005,2006
None,None,0,6,NAmes,4,5,Y,CompShg,Normal,166000.0,WD,Pave,6,910.0,0,1952,2010
BrkFace,None,0,6,CollgCr,5,7,Y,CompShg,Normal,204000.0,WD,Pave,6,1490.0,144,1999,2009
BrkFace,None,0,11,Sawyer,5,5,Y,CompShg,Abnorml,125000.0,ConLI,Pave,10,1728.0,0,1963,2006
Stone,None,0,4,Edwards,5,6,Y,CompShg,Normal,130000.0,WD,Pave,7,970.0,0,2004,2006
None,None,0,11,BrkSide,7,5,Y,CompShg,Normal,105000.0,WD,Pave,5,715.0,48,1931,2009
BrkFace,None,0,5,Gilbert,5,7,Y,CompShg,Normal,222500.0,WD,Pave,8,884.0,144,2001,2010
BrkFace,None,0,4,SawyerW,5,7,Y,CompShg,Normal,141000.0,WD,Pave,6,1080.0,0,2004,2008
None,None,0,4,BrkSide,4,5,Y,CompShg,Normal,115000.0,WD,Pave,7,896.0,200,1936,2006
None,None,0,1,CollgCr,6,5,Y,CompShg,Normal,122000.0,WD,Pave,5,969.0,0,1975,2007
Stone,None,0,1,NridgHt,5,8,Y,CompShg,Partial,372402.0,New,Pave,6,1710.0,0,2007,2008
BrkFace,None,0,6,NWAmes,5,6,Y,CompShg,Normal,190000.0,WD,Pave,8,825.0,0,1971,2006
None,None,0,3,ClearCr,7,6,Y,CompShg,Normal,235000.0,WD,Pave,4,1602.0,409,1960,2008
None,None,0,3,OldTown,5,6,Y,CompShg,Family,125000.0,WD,Pave,7,1200.0,0,1923,2006
None,None,0,4,Edwards,5,6,N,CompShg,Normal,79000.0,WD,Pave,5,572.0,0,1924,2008
None,None,0,6,NAmes,7,5,Y,CompShg,Normal,109500.0,WD,Pave,5,0.0,0,1950,2006
BrkFace,None,0,5,Timber,5,8,Y,CompShg,Partial,269500.0,New,Pave,8,774.0,0,2009,2010
None,None,0,5,Somerst,5,7,Y,CompShg,Normal,254900.0,WD,Pave,8,991.0,0,2004,2010
BrkFace,None,0,3,Gilbert,5,7,Y,CompShg,Partial,320000.0,New,Pave,9,1392.0,239,2005,2006
None,None,0,6,Veenker,6,6,Y,CompShg,Normal,162500.0,WD,Pave,6,1232.0,0,1984,2008
BrkFace,None,0,3,NridgHt,5,9,Y,CompShg,Normal,412500.0,WD,Pave,10,1572.0,400,2003,2008
BrkFace,None,0,5,NridgHt,5,7,Y,CompShg,Partial,220000.0,New,Pave,7,1541.0,0,2005,2010
None,None,0,4,OldTown,6,4,Y,CompShg,Normal,103200.0,WD,Pave,4,882.0,0,1956,2007
None,None,0,10,OldTown,7,6,Y,CompShg,Normal,152000.0,WD,Pave,5,1149.0,0,1926,2007
None,None,0,9,Edwards,7,5,Y,CompShg,Normal,127500.0,WD,Pave,6,644.0,140,1940,2008
None,None,0,11,ClearCr,5,5,Y,CompShg,Normal,190000.0,COD,Pave,7,1617.0,476,1955,2009
Stone,None,0,11,NridgHt,5,8,Y,CompShg,Partial,325624.0,New,Pave,8,1582.0,178,2007,2007
None,None,0,5,Gilbert,5,7,Y,CompShg,Normal,183500.0,WD,Pave,7,840.0,100,2004,2007
BrkFace,None,0,1,Timber,6,8,Y,WdShake,Normal,228000.0,WD,Pave,6,1686.0,574,1981,2006
None,None,0,5,OldTown,6,5,Y,CompShg,Normal,128500.0,WD,Pave,7,720.0,237,1941,2007
Stone,None,0,5,NAmes,5,6,P,CompShg,Normal,215000.0,WD,Pave,7,1080.0,210,1960,2010
None,None,0,6,StoneBr,7,7,Y,CompShg,Normal,239000.0,WD,Pave,5,1064.0,441,1987,2006
BrkCmn,None,0,6,NAmes,5,6,Y,CompShg,Normal,163000.0,COD,Pave,6,1362.0,0,1961,2008
Stone,None,0,11,Timber,5,6,Y,CompShg,Normal,184000.0,WD,Pave,7,1606.0,192,1986,2008
None,None,0,6,Edwards,7,6,Y,CompShg,Normal,243000.0,WD,Pave,7,1202.0,0,1950,2007
BrkFace,None,0,9,ClearCr,5,6,Y,CompShg,Normal,211000.0,WD,Pave,8,1151.0,0,1988,2007
None,None,0,7,Sawyer,5,5,Y,CompShg,Normal,172500.0,WD,Pave,8,1052.0,0,1958,2006
Stone,None,0,7,StoneBr,5,9,Y,CompShg,Partial,501837.0,New,Pave,9,2216.0,0,2008,2009
None,None,0,7,OldTown,6,5,N,CompShg,Normal,100000.0,WD,Pave,5,968.0,0,1923,2007
BrkFace,None,0,6,Somerst,5,6,Y,CompShg,Normal,177000.0,WD,Pave,5,756.0,0,2000,2007
None,None,0,7,Crawfor,6,7,Y,CompShg,Normal,200100.0,WD,Pave,9,793.0,0,1920,2006
BrkFace,None,0,6,Edwards,6,5,Y,CompShg,Normal,120000.0,WD,Pave,7,0.0,116,1957,2007
None,None,0,6,OldTown,5,7,N,CompShg,Normal,200000.0,WD,Pave,6,1362.0,280,2003,2008
None,None,0,6,BrkSide,8,5,Y,CompShg,Normal,127000.0,WD,Pave,5,504.0,104,1908,2006
None,None,0,6,OldTown,9,10,Y,WdShngl,Normal,475000.0,WD,Pave,12,1107.0,0,1892,2006
None,None,0,6,Mitchel,5,7,Y,CompShg,Normal,173000.0,WD,Pave,6,1188.0,168,1990,2009
None,None,0,8,OldTown,7,5,N,CompShg,Normal,135000.0,WD,Pave,8,660.0,0,1916,2009
Stone,None,0,6,SawyerW,5,5,Y,CompShg,Alloca,153337.0,WD,Pave,6,1086.0,120,1979,2009
None,None,0,8,StoneBr,5,8,Y,CompShg,Normal,286000.0,WD,Pave,5,1593.0,0,2001,2008
None,None,0,12,Crawfor,8,8,Y,CompShg,Normal,315000.0,WD,Pave,10,853.0,0,1932,2007
BrkFace,None,0,6,NAmes,9,7,Y,CompShg,Normal,184000.0,WD,Pave,7,725.0,0,1972,2007
None,None,0,9,CollgCr,5,7,Y,CompShg,Normal,192000.0,WD,Pave,6,1431.0,0,1999,2009
Stone,None,0,5,Edwards,5,7,Y,CompShg,Normal,130000.0,WD,Pave,7,970.0,0,2004,2006
None,None,0,5,CollgCr,7,5,Y,CompShg,Normal,127000.0,WD,Pave,5,864.0,0,1972,2008
None,None,0,7,NPkVill,6,6,Y,CompShg,Normal,148500.0,WD,Pave,7,855.0,87,1976,2009
Stone,None,0,9,Somerst,5,7,Y,CompShg,Partial,311872.0,New,Pave,8,1726.0,171,2007,2007
None,None,0,3,NAmes,4,8,Y,CompShg,Abnorml,235000.0,WD,Pave,8,1360.0,0,1918,2006
None,None,0,7,OldTown,6,6,Y,CompShg,Abnorml,104000.0,WD,Pave,8,755.0,0,1912,2009
BrkFace,None,0,1,NridgHt,5,8,Y,CompShg,Normal,274900.0,WD,Pave,7,1713.0,0,2004,2009
None,None,0,3,Edwards,5,4,Y,CompShg,Normal,140000.0,WD,Pave,5,1121.0,132,2003,2010
None,None,0,2,Mitchel,6,6,Y,CompShg,Normal,171500.0,WD,Pave,6,1196.0,238,1977,2008
None,None,0,5,OldTown,6,6,Y,CompShg,Normal,112000.0,COD,Pave,6,617.0,0,1924,2006
BrkFace,None,0,1,CollgCr,5,6,Y,CompShg,Normal,149000.0,WD,Pave,3,848.0,149,2004,2008
None,None,0,4,OldTown,7,5,Y,CompShg,Normal,110000.0,WD,Pave,5,720.0,0,1947,2009
None,None,0,5,Gilbert,5,7,Y,CompShg,Normal,180500.0,WD,Pave,5,1424.0,0,1990,2009
None,None,0,3,Sawyer,5,5,Y,CompShg,Normal,143900.0,WD,Pave,8,1140.0,0,1962,2007
None,None,0,4,NAmes,5,4,Y,CompShg,Normal,141000.0,WD,Pave,6,1100.0,355,1960,2008
BrkFace,None,0,4,SawyerW,5,7,Y,CompShg,Normal,277000.0,WD,Pave,7,1157.0,60,1988,2007
Stone,None,0,7,NAmes,7,6,Y,CompShg,Normal,145000.0,WD,Pave,6,1092.0,0,1964,2008
None,None,0,4,Edwards,6,5,Y,CompShg,Normal,98000.0,WD,Pave,5,864.0,0,1925,2008
None,None,0,3,Edwards,5,6,Y,CompShg,Normal,186000.0,WD,Pave,6,1212.0,100,2009,2010
None,None,0,7,Somerst,5,7,Y,CompShg,Partial,252678.0,New,Pave,7,900.0,168,2009,2009
None,None,0,7,CollgCr,5,5,Y,CompShg,Normal,156000.0,WD,Pave,5,990.0,224,1995,2006
BrkFace,Shed,450,3,CollgCr,7,6,Y,CompShg,Normal,161750.0,WD,Pave,6,689.0,0,1977,2010
BrkFace,None,0,5,NAmes,6,5,Y,CompShg,Normal,134450.0,WD,Pave,6,1070.0,0,1957,2006
BrkFace,None,0,4,CollgCr,5,7,Y,CompShg,Normal,210000.0,WD,Pave,8,1436.0,139,2004,2008
None,None,0,9,OldTown,4,4,Y,CompShg,Family,107000.0,WD,Pave,8,686.0,0,1925,2006
BrkFace,None,0,5,Crawfor,9,7,Y,CompShg,Normal,311500.0,WD,Pave,8,798.0,0,1939,2008
BrkFace,None,0,3,Blmngtn,5,7,Y,CompShg,Partial,167240.0,New,Pave,5,1248.0,108,2005,2006
None,None,0,4,CollgCr,5,7,Y,CompShg,Partial,204900.0,New,Pave,5,1498.0,351,2006,2006
None,None,0,12,Gilbert,5,6,Y,CompShg,Normal,200000.0,ConLI,Pave,8,1010.0,120,2002,2009
None,None,0,2,NWAmes,6,6,Y,CompShg,Normal,179900.0,WD,Pave,6,713.0,209,1975,2006
None,None,0,3,NAmes,6,4,Y,CompShg,Abnorml,97000.0,WD,Pave,4,864.0,216,1971,2009
BrkFace,None,0,6,NridgHt,5,10,Y,CompShg,Normal,386250.0,WD,Pave,8,2392.0,248,2003,2009
BrkFace,None,0,5,BrDale,5,5,Y,CompShg,Abnorml,112000.0,COD,Pave,6,630.0,0,1971,2009
BrkFace,None,0,6,NoRidge,5,7,Y,CompShg,Abnorml,290000.0,WD,Pave,9,1203.0,224,1995,2007
BrkFace,None,0,9,BrDale,6,6,Y,CompShg,Normal,106000.0,WD,Pave,5,483.0,0,1970,2008
None,None,0,5,Sawyer,5,5,Y,CompShg,Normal,125000.0,WD,Pave,5,912.0,0,1967,2010
BrkFace,None,0,5,Blmngtn,5,7,Y,CompShg,Normal,192500.0,WD,Pave,7,1373.0,143,2005,2009
BrkFace,None,0,4,NAmes,6,6,Y,CompShg,Normal,148000.0,WD,Pave,6,1194.0,0,1959,2010
BrkFace,None,0,7,NoRidge,5,8,Y,CompShg,Normal,403000.0,WD,Pave,9,1462.0,0,1995,2009
BrkFace,None,0,6,BrDale,5,6,Y,CompShg,Normal,94500.0,WD,Pave,5,483.0,0,1972,2006
None,None,0,2,CollgCr,6,5,Y,CompShg,Normal,128200.0,WD,Pave,5,894.0,365,1976,2010
None,None,0,5,Gilbert,5,6,Y,CompShg,Normal,216500.0,WD,Pave,8,860.0,288,2002,2010
BrkFace,None,0,8,BrDale,3,6,Y,CompShg,Normal,89500.0,WD,Pave,5,483.0,0,1971,2008
BrkFace,None,0,5,CollgCr,5,7,Y,CompShg,Normal,185500.0,WD,Pave,6,1414.0,132,2004,2010
